class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9
0,34,32,53,97,53,97,59,22,50,83.32,19.34,45.03,4.09,-26.76,-33.99,20.34,7.06,5.3,-22.93,-1.82,-5.44,-27.3,-1.37,-6.44,-23.23,-1.89,-4.89
2,75,68,89,116,77,118,94,42,76,43.28,-16.52,9.17,-13.26,-50.8,-54.87,-13.2,-12.88,-20.64,-24.49,-1.42,-4.34,-27.33,-0.91,-5.92,-24.1,-1.21,-4.88
2,64,52,71,98,72,109,87,37,70,50.02,-0.56,27.64,0.31,-46.02,-46.84,-9.36,-5.94,-12.59,-18.32,-2.47,-7.93,-20.07,-1.51,-6.34,-21.78,-4.52,-7.42
0,51,47,67,95,66,106,97,26,56,66.92,4.48,31.13,7.76,-39.83,-42.96,-16.39,3.16,-0.6,-23.75,-1.66,-4.84,-28.07,-1.14,-6.32,-24.11,-1.67,-5.04
3,63,28,52,93,51,93,84,25,59,52.49,24.04,46.33,10,-24.96,-30.64,-4.09,5.51,-2.14,-22.89,-1.26,-4.81,-20.77,-0.89,-5.11,-20.06,-3.51,-6.6
2,41,44,67,64,71,104,84,54,85,71.81,8.35,34.35,33.13,-44.66,-40.47,-7.91,-24.34,-28.44,-18.06,-3.04,-10.02,-18.23,-1.68,-7.48,-19.16,-2.55,-6.17
2,67,68,89,108,74,114,117,44,86,44.82,-17.32,8.65,-14.46,-46.89,-50.18,-42.21,-14.5,-29.84,-20.1,-0.05,-3.1,-20.06,-1.11,-4.97,-18.07,-0.29,-3.91
0,62,59,73,91,78,109,112,28,59,51.78,-7.26,26.41,7.38,-52,-46.65,-34.42,2.75,-1.82,-18.39,-2.84,-8.8,-18.93,-1.51,-6.56,-20.28,-3.8,-6.86
3,50,25,49,92,48,90,62,23,52,63.08,25.84,48.42,5.61,-21.87,-27.52,13.09,5.99,3.1,-19.16,-2.88,-7.25,-31.35,-2.43,-7.84,-22.66,-2.57,-4.99
1,74,29,55,114,52,101,94,28,65,38.43,23.43,46.57,-19.59,-25.44,-37,-19.66,0.49,-9.11,-17.91,-3.04,-10.05,-15.37,-1.86,-7.9,-17.2,-1.27,-5.42
2,78,85,101,124,82,126,91,50,80,37.23,-33.92,-3.44,-24.21,-55.89,-63.47,-13.53,-20.94,-24.71,-20.68,-1.6,-5.22,-24.8,-1.16,-5.72,-20.59,-1.67,-4.54
0,61,50,69,91,73,105,111,27,59,53.31,1.23,28.56,7.9,-47.15,-43.27,-32.78,4.14,-1.6,-19.78,-2.69,-7.74,-20.33,-1.58,-6.46,-20.89,-3.9,-6.68
3,55,30,53,86,52,94,69,28,61,56.56,20.7,44.65,7.51,-24.94,-30.2,5.07,1.4,-5,-25.66,1.02,-3.15,-22.19,0.65,-2.84,-19.5,1.1,-2.77
1,68,28,54,110,50,98,95,27,64,40.75,22.88,43.75,-17.2,-23.37,-34.37,-29.05,1.39,-9.84,-14.24,-0.7,-3.01,-16.95,-0.94,-5.06,-7.59,0.24,-2.12
0,57,55,71,102,70,108,126,27,59,58.55,-2.97,27.12,0.95,-44.02,-45.8,-45.99,3.78,-1.9,-22.16,-2.01,-4.88,-23.59,-1,-5.59,-22.3,-3.61,-6.71
1,74,30,57,109,50,98,88,28,64,37.75,20.63,40.63,-16.73,-22.13,-33.5,-11.88,2.12,-6.53,-20.83,0.19,-3.08,-18.88,-1.56,-5.22,-19.58,-0.54,-5.02
2,66,78,101,106,73,114,112,36,73,48.08,-26.47,-2.61,-7.11,-47.11,-52.05,-33.92,-5.12,-15.77,-19.12,-2.7,-8.21,-19.17,-1.41,-6.24,-20.34,-3.67,-6.73
0,50,39,62,108,55,101,95,26,58,65.11,11.94,35.26,-8.07,-28.99,-38.74,-17.55,3.12,-2.71,-20.94,-1.65,-4.94,-24.67,-1.08,-5.59,-20.79,-1.81,-4.77
0,50,51,73,78,61,98,89,25,55,63.42,0.86,26.07,21.02,-35.17,-36.07,-11.53,5.7,2.03,-19.05,-2.81,-8.65,-19.11,-1.28,-6.17,-19.51,-3.16,-6.28
0,45,39,60,105,60,106,98,27,57,68.12,11.67,37.47,-8.42,-33.88,-43.58,-23.51,1.91,-1.94,-18.76,-1.01,-5,-23.14,-1.09,-5.18,-17.79,-1.24,-3.77
0,45,39,61,108,57,108,74,27,57,66.82,11.67,36.64,-14.65,-29.79,-44.06,1,2.56,-0.69,-19.71,-0.04,-2.99,-19.55,-1.25,-5.1,-18,-0.41,-4.04
3,57,28,49,96,48,92,78,25,57,57.71,23.08,48.15,4.48,-22.06,-29.98,-0.94,4.47,-1.44,-21.93,-2.47,-4.86,-24.79,-1.08,-5.86,-21.44,-2.33,-5.94
2,67,75,95,92,84,120,81,53,86,44.85,-24.28,2.59,3.77,-57.73,-57.22,-7.92,-24.11,-30.97,-15.64,-0.66,-2.3,-17.71,-0.63,-4.03,-13.26,-0.37,-2.91
3,68,28,54,104,50,96,90,28,61,43.51,22.74,43.62,-8.54,-23.66,-33.1,-17.25,0.91,-5.93,-10.26,-0.57,-1.7,-5.4,0.47,-1.36,-5.61,0.26,-1.67
0,49,46,67,105,57,1,91,25,55,66.99,5.85,30.25,-1.41,-31.14,-38.09,-10.45,5.72,1.95,-21.31,-2.11,-4.91,-24.32,-0.98,-5.5,-22.41,-3.16,-6.14
0,56,50,68,80,70,1,107,27,60,57.8,0.42,27.5,17.38,-44.61,-39.56,-29.18,3.46,-3.55,-20.35,-2.13,-6.8,-17.57,-1.01,-5.12,-18.96,-2.67,-5.4
0,61,77,108,83,69,103,93,24,55,52.95,-25.29,-10.87,17.17,-43.39,-41.79,-14.73,6.75,1.92,-20.65,-2.35,-6.66,-20.22,-1.02,-5.55,-20.42,-2.64,-5.72
1,82,29,54,111,51,97,107,26,63,34.5,22.56,44.5,-3.92,-24.34,-32.79,-24.15,3.4,-6.89,-22.53,-1.87,-6.47,-31.02,-1.97,-8.14,-26.03,-1.92,-5.32
2,63,70,92,90,87,129,103,70,109,49.2,-19.21,5.67,4.24,-60.53,-66.15,-28.98,-40.84,-53.53,-18.39,-0.31,-2.56,-19.41,-0.83,-4.3,-16.09,-0.47,-3.3
0,54,57,78,77,69,1,97,26,56,59.42,-6.75,16.98,20.55,-43.64,-39.73,-19.71,4.32,0.25,-20.22,-2.26,-6.65,-16.47,-0.87,-4.77,-17.49,-2.54,-5.28
0,40,38,59,114,55,105,87,26,58,72.56,12.78,38.64,-19.42,-28.75,-42.52,-13.05,3.04,-2.75,-17.76,-0.34,-2.13,-18.94,-0.7,-3.92,-15.38,-0.48,-3.04
0,58,52,68,105,65,107,107,27,56,55.13,-1.67,28.04,-8.2,-39.47,-46.19,-32.33,1.79,-1.24,-18.53,-0.61,-3.43,-22.41,-0.74,-4.09,-17.44,-1.16,-3.56
3,62,27,51,92,47,87,89,25,57,51.04,22.96,43.38,4.66,-21.76,-27.07,-12.25,5.2,-0.93,-19.84,-2.99,-6.22,-11.07,-0.31,-3.64,-14.2,-2.67,-5.79
3,53,27,49,87,50,90,71,25,55,62.14,24.28,48.07,15.31,-24.29,-28.36,7.09,4.66,0.71,-24.07,-2.26,-5.76,-31.75,-1.61,-6.74,-24.89,-2.85,-5.98
1,82,29,55,117,50,98,101,26,63,34.21,21.21,42.36,-16.84,-24.14,-35.64,-21.67,2.64,-7.93,-19.7,0.08,-1.2,-24.43,-0.73,-4.36,-20.41,-0.49,-3.02
0,63,50,69,97,73,109,101,28,60,52.84,0.23,28.34,1.38,-47.16,-46.81,-23.35,0.74,-4.99,-19.85,-0.03,-1.79,-23.22,-0.79,-4.45,-19.2,-0.67,-3.12
0,54,48,67,115,59,105,118,28,62,59.86,2.61,30.47,-19.76,-33.06,-43.07,-43.23,0.92,-6.95,-17.12,-0.03,-0.29,-19.08,-0.62,-3.35,-15.45,-0.57,-2.67
2,60,62,85,101,73,115,96,37,73,52.89,-11.6,10.43,-2.35,-47.73,-54.87,-21.37,-7.74,-17.87,-17.73,-0.76,-3.36,-23.32,-0.69,-3.76,-17.22,-1.81,-4.13
0,54,53,72,81,70,102,106,27,58,58.17,-2.54,22.6,17.15,-44.68,-41.98,-29.34,3.46,-1.58,-22.54,-0.07,-4.62,-19.2,-0.84,-5.06,-20.79,-0.45,-3.33
3,70,28,54,113,52,1,88,25,63,44.55,22.46,43.37,-17.31,-26.17,-38.22,-12.66,3.85,-8.02,-4.81,0.97,2.27,-8.54,-0.2,-0.04,-7.13,-0.3,-0.14
0,56,51,69,88,64,104,102,25,54,60.28,0.4,27.6,15.16,-38.42,-42.68,-21.99,5.34,2.49,-21.91,-1.71,-5.25,-25.52,-0.89,-5.42,-22.17,-2.48,-5.39
3,51,31,55,80,52,90,82,25,56,61.3,19.77,39.83,18.77,-26.64,-29.83,-5.14,5.55,0.5,-30.77,1.99,-4.54,-18.81,-0.66,-5.85,-27.83,0.87,-1.31
3,63,28,52,98,50,92,83,26,58,54.28,23.18,44.35,6.5,-24.48,-30.8,-2.27,4.45,-1.41,-22.1,-1.58,-5.35,-23.97,-0.33,-4.81,-19.99,-2.05,-4.61
1,85,34,59,112,58,99,115,26,63,27.51,24.99,40,4.59,-31.54,-37.01,-30.67,8.66,-3.25,-18.02,-8.8,-8.47,-35.97,-1.72,-6.05,-24.83,-5.74,-7.57
1,93,29,56,126,49,96,121,26,64,29.98,20.91,40.27,-12.35,-23.55,-33.83,-32.69,2.88,-8.85,-28.72,0.11,-5.31,-34.61,-0.8,-6.36,-29.4,-0.32,-3.21
3,53,29,51,87,49,92,66,24,56,60.98,21.63,46.37,7.84,-23.27,-30.63,8.61,4.88,-1.07,-26.56,0.74,-3.67,-28.71,-0.29,-4.33,-22.42,-0.38,-3.74
2,52,49,67,54,53,87,62,52,79,60.6,0.08,25.76,40.82,-28.08,-28.07,14.3,-22.3,-23.61,-19.63,-1.72,-5,-18.12,-1.28,-4.96,-16.85,-1.57,-4.05
0,44,37,59,94,59,1,88,24,53,71.57,14.27,37.03,8.39,-33.57,-39.26,-8.76,6.48,3.51,-20.89,-1.61,-4.59,-24.65,-0.79,-4.8,-20.83,-2.45,-5.22
1,66,28,54,104,48,95,84,25,59,40.59,21.57,39.57,-15.93,-22.86,-36.13,-14.09,4.5,-3.78,-15.55,-0.16,-4.34,-10.57,-1,-4.31,-12.37,-0.26,-2.81
1,85,30,56,118,50,96,106,26,60,33.5,20.5,40.5,-11.9,-24.5,-34.9,-21.75,4.41,-2.73,-23.99,-0.42,-5.54,-27.39,-0.92,-5.39,-25.36,-1.81,-5.29
0,53,40,61,92,60,99,101,25,56,62.25,11.25,34.92,10.02,-34.6,-38.37,-22.1,5.47,0.49,-20.32,-1.59,-4.27,-24.22,-0.8,-4.69,-20.42,-2.48,-5.21
2,45,43,62,96,63,101,90,30,65,63.77,6.03,31.53,-7.27,-38.71,-43.91,-23.74,-1.89,-11.44,-16.33,0.63,-2.7,-17.18,-0.2,-1.83,-11.33,-0.95,-2.64
2,61,59,77,99,73,111,105,35,73,52.61,-8.27,20.31,-5.01,-47.45,-50.12,-31.09,-6.15,-18.15,-19.07,-0.19,-2.64,-20.29,-0.49,-3.32,-16.19,-0.65,-3.04
2,56,69,91,93,96,136,74,54,90,59.92,-17.71,5,9.94,-70.58,-75.28,5.65,-23.42,-33.37,-20.87,-1.07,-4.62,-23.83,-0.66,-4.56,-20.6,-2.14,-4.74
1,56,26,51,107,49,91,78,23,55,51.23,22.69,42.15,-29.06,-25.75,-35.68,-19.37,3.39,-3.74,-17.84,0.77,-2.66,-10.48,0.44,-0.97,-6.78,0.48,-0.72
3,49,27,50,85,49,91,65,23,54,58.62,21.76,43.21,-1.72,-25.3,-35.1,-3.05,4.3,-1.53,-23.95,0.32,-2.86,-23.43,-0.83,-3.49,-15.86,-0.71,-2.71
1,82,30,56,118,49,94,105,26,63,36.99,20.9,40.3,-15.88,-23.41,-32.41,-23.97,3.9,-6.65,-24.65,-0.95,-6.21,-22.79,-1.07,-6,-21.83,-1.07,-4.27
0,61,50,68,103,65,107,101,27,57,53.47,1.29,28.19,-1.98,-39.57,-46.55,-23.48,3.19,-0.91,-15.52,-1.46,-2.77,-21.1,-0.83,-3.8,-16.41,-2.26,-4.5
0,59,56,75,88,77,107,114,26,58,56.68,-4.84,20.71,12.76,-51.62,-46.43,-35.29,4.84,-1.16,-23.36,-1.58,-6.44,-23.72,-1.08,-5.63,-21.05,-1.95,-4.79
1,78,29,55,119,49,97,99,26,63,40.85,20.57,41.14,-21.66,-23.44,-35.44,-18.66,3.28,-6.66,-25.73,-1.05,-8.27,-21.08,-1.69,-7.25,-21.45,-1.02,-4.65
2,55,58,81,97,77,121,85,38,71,56.46,-7.94,14.45,-5.31,-51.94,-61.81,-13.99,-9.3,-16.49,-16.3,-0.04,-2.15,-16.69,-0.43,-2.48,-13.21,-0.98,-3.09
2,92,56,83,172,58,110,97,82,108,20.01,-7.05,9.35,-77.01,-33.18,-51.38,-21.07,-52,-52.4,-19.16,-0.82,-4.46,-18.93,-1.08,-4.44,-16.63,-1.5,-3.74
2,68,76,89,111,82,123,121,35,74,44.09,-25.64,7.07,-18.54,-56.8,-63.39,-49.08,-6.17,-19.31,-16.76,-0.27,-2.29,-17.49,-0.54,-2.75,-14.02,-1.07,-3.24
3,60,27,49,95,47,88,69,23,53,53.52,22.68,45.27,1.42,-21.82,-28.12,8,7.65,3.6,-19.52,-2.97,-7.33,-26.02,-2.03,-6.91,-19.2,-4.02,-6.92
1,84,32,57,118,50,95,1,25,62,33.66,18,37.72,-19.39,-24.56,-34.28,-19.4,9.46,-1.65,-24.05,-1.6,-6.96,-22.45,-1.61,-6.4,-21.33,-6.33,-8.76
3,58,27,51,95,49,94,68,23,55,55.51,24.66,47.4,-1.75,-23.56,-33.53,6.22,5.97,-0.1,-19.98,-2.27,-4.94,-23.41,-1.46,-4.69,-16.93,-1.5,-4.21
0,57,54,70,79,74,101,94,26,56,55.34,-5.6,21.35,15.23,-49.23,-42.72,-17.69,3.63,-0.94,-21.1,-0.3,-4.11,-19.65,-1.11,-4.4,-17.92,-0.46,-2.75
2,63,53,74,98,77,113,77,39,68,51.01,-1.64,21.35,3.4,-51.68,-52.8,0.55,-8.36,-11.49,-17.77,-1.08,-3.27,-22.03,-0.7,-4.09,-17.92,-2.13,-4.52
3,80,29,54,119,50,95,101,24,60,33.33,22.28,42.05,-19.36,-24.69,-35.02,-25.24,6.32,-3.92,5.13,-1.35,-1.41,1.88,-0.53,-0.94,3.67,-1.26,-1.35
3,59,29,52,97,52,98,74,25,57,54.5,22.78,46.58,-3.71,-26.53,-37.49,0.42,3.99,-2.07,-18.07,0.17,-1.16,-19.03,-0.07,-2.62,-13.87,-0.24,-2.22
0,56,46,66,115,61,106,101,27,57,57.12,5.15,31.51,-21.93,-35.63,-45.83,-27.83,1.93,-2.18,-17.92,-0.96,-3.2,-18.52,-0.72,-3.33,-15.31,-1.14,-3.41
0,53,47,66,107,65,107,104,27,57,58.86,3.51,29.42,-10.69,-39.99,-47.89,-31.4,2.68,-1.68,-14.94,-0.47,-2.51,-18.73,-0.53,-2.75,-13.14,-1.92,-3.85
2,61,67,90,93,92,131,85,56,96,52.6,-15.13,8.69,0.39,-66.51,-70.45,-10.4,-26.99,-41.04,-20,-0.72,-2.33,-20.65,-0.46,-3.13,-16.9,-0.73,-3.04
1,73,35,61,108,56,95,109,25,59,35.75,21,34.25,3.24,-30.75,-36.25,-35.69,10.83,2.1,-14.22,-6.02,-4.77,-32.81,-0.8,-3.27,-14.72,-7.07,-9.18
2,98,89,107,152,67,115,114,46,85,15.14,-37.5,-12.28,-51.16,-41.72,-55.12,-37.02,-14.94,-28.14,-18.38,-1.78,-4.85,-22.4,-0.94,-4.61,-18.01,-2.31,-4.97
1,79,30,55,111,49,94,92,24,59,30.42,19.4,38.67,-17.98,-23.88,-34.21,-15.68,6.22,-2.75,-14.18,-1.46,-5.8,-16.22,-1.41,-5.43,-15.41,-2.38,-4.89
0,55,50,66,106,63,1,114,26,59,58.34,1.44,29.11,-4.81,-37.62,-39.86,-36.84,4.73,-2.55,-18.13,-0.9,-2.73,-22.85,-0.77,-4.14,-19.04,-2.3,-4.61
0,55,47,66,1,61,106,92,25,56,58.65,4.83,32.53,-6.95,-35.66,-45.87,-18.05,4.03,-1.1,-18.45,-1.31,-3.94,-18.22,-0.67,-3.28,-15.49,-1.13,-3.36
3,69,27,51,101,47,88,79,23,54,41.93,21.73,41.24,-7.52,-22.18,-29.38,-3.61,6.71,1.3,-9.39,-1.92,-3.74,-11.79,-1.31,-3.24,-8.18,-2.25,-4.41
2,71,65,85,1,81,121,120,35,73,41.86,-13.07,13.72,-7.37,-55.67,-60.87,-45.74,-6.05,-18.19,-19.74,-1.1,-3.55,-20.74,-0.64,-3.31,-17.51,-1.09,-3.32
2,81,98,125,117,90,129,89,46,76,28.79,-50.31,-34.91,-25.59,-65.59,-71.75,-14.35,-16.71,-21.35,-16.7,0.26,-2.5,-15.87,-0.79,-3.25,-14.96,-0.71,-2.72
1,67,31,55,102,47,89,81,23,56,36.04,16.24,34,-21.83,-23.89,-34.25,-13.77,5.9,-2.28,-8.26,0.54,-1.29,-3.51,0.51,-0.59,-6.17,-0.81,-2.1
2,61,65,83,144,58,110,139,38,76,52.32,-13.22,13.44,-44.13,-32.56,-49.8,-62.74,-7.4,-19.77,-15.81,-1.77,-2.89,-20.61,-1.02,-4.11,-16.34,-2.58,-4.78
2,105,160,196,131,65,109,96,40,75,7.66,-112.6,-106.12,-38.71,-40.47,-51.39,-19.3,-10.79,-20.43,-25.7,0.7,-3.87,-22.34,-1.05,-4.52,-20.14,2.24,-0.53
0,58,51,67,94,65,101,111,26,56,53.47,-1.53,26.13,2.01,-39.93,-41.94,-36.52,4.14,-0.25,-17.32,0.19,-3.26,-18.41,-0.82,-3.93,-15.67,-1.23,-3.91
3,68,27,51,1,46,87,77,23,54,43.73,21.07,39.75,-6.72,-21.35,-29.09,-1.87,6.36,0.74,-11.73,-1.81,-3.62,-14.88,-1.37,-4.35,-8.78,-2.34,-4.16
2,62,65,90,97,85,126,92,47,83,52.44,-12.71,9.16,-2.96,-59.82,-66.06,-17.38,-17.95,-28.17,-19.07,-1.45,-4.35,-18.69,-0.58,-3.21,-16.36,-1.17,-3.39
1,80,29,56,114,48,92,1,25,59,34.37,19.62,37.23,-15.09,-23.14,-32.15,-23.54,4.05,-4.41,-19.84,1.56,-2.46,-20.46,-0.39,-4.35,-17.99,0.11,-2.44
